model,pr_auc_mean,pr_auc_std,roc_auc_mean,weighted_bce_mean,precision_at_k_mean,precision_at_k_std,recall_at_k_mean,recall_at_k_std,capacity_precision_mean,capacity_precision_std,capacity_recall_mean,capacity_recall_std,n_folds
LightGBM (tuned),0.9973672925429545,0.00452235913784456,0.9996588175356779,0.025264820004019722,0.1995490417136415,0.0007810826640671401,0.9977452085682074,0.003905413320335739,0.5292521265910238,0.03184618985037334,0.9969936114242767,0.005207217760447518,3
LightGBM (default params),0.996655163345144,0.005761252015197508,0.9986703038833715,0.040246890677059936,0.19932356257046224,0.0011716239961007075,0.9966178128523112,0.005858119980503496,0.5290604000809717,0.03150649614974985,0.9966178128523112,0.005858119980503496,3
XGBoost (tuned),0.996793954927758,0.00538982877795745,0.9997062102824014,0.8095213455523534,0.19939872228485533,0.001041443552089535,0.9969936114242767,0.005207217760447518,0.5277795130060139,0.03156021592257044,0.9965393814797622,0.005791391491337917,3
XGBoost (default params),0.9966917554675295,0.005618422126003573,0.9984146577425546,0.08223904992429255,0.19939872228485533,0.001041443552089535,0.9969936114242767,0.005207217760447518,0.525768544383341,0.029940833711751012,0.9966178128523112,0.005858119980503496,3
HistGradientBoosting (class_weight=balanced),0.9935318645878651,0.005248183491926912,0.9996346420547245,0.02527861988703724,0.19929219002144263,0.00114542166885577,0.9964609501072131,0.005727108344278825,0.5253705221498289,0.03642580605391087,0.9964609501072131,0.005727108344278825,3
Logistic Regression (class_weight=balanced),0.5117034097131273,0.4328006106358913,0.9973941078179976,0.09486142327435394,0.1541142934082519,0.07678305388178103,0.7705714670412595,0.38391526940890514,0.3848174701206098,0.26973022499185084,0.7128840906865975,0.4768274459751448,3
"Lasso-penalized Logistic Regression (L1, C=0.1)",0.5278180583151224,0.4419562649898813,0.9976316929753369,0.09448183529709424,0.18019812330384652,0.03189473974610621,0.9009906165192326,0.15947369873053108,0.379619587081498,0.27704452052491146,0.697998670781216,0.4999705572432285,3
"Ridge-penalized Logistic Regression (L2, C=0.1)",0.5066060449892578,0.44262250944303905,0.9973038236251837,0.08737083078062013,0.15368139297535147,0.07753284530814611,0.7684069648767573,0.38766422654073057,0.3777025737767361,0.2723291533968169,0.7000020084696787,0.4827595281482478,3
