feature_set,n_features,pr_auc,weighted_bce,capacity_precision,capacity_recall,capacity_false_positives,capacity_false_negatives
sprint1_features_only,9,0.9995435372771689,0.007818628125076589,0.5164113785557987,0.9995294117647059,3978,2
base_plus_txn_type,13,0.999889586504942,0.002554015558411748,0.5255998021271333,1.0,3836,0
base_plus_dest_aggregates,14,0.99993161147576,0.0035282429963835265,0.5257948781393047,1.0,3833,0
sprint2_all_features,18,0.9999628128482647,0.002231586232580276,0.5257298367144978,1.0,3834,0
