k,threshold,n_flagged,n_rows,true_positives,false_positives,false_negatives,total_fraud,precision,recall,alert_rate,reviews_per_day,window_days,precision_ceiling,at_ceiling
1617,0.9999999953947716,1617,1248736,1617,0,2633,4250,1.0,0.3804705882352941,0.0012949094123978168,100,16.166666666666668,1.0,True
4042,0.9999997991643191,4042,1248736,4042,0,208,4250,1.0,0.9510588235294117,0.0032368731261051176,250,16.166666666666668,1.0,True
8083,8.077004481140283e-06,8085,1248736,4250,3835,0,4250,0.525664811379097,1.0,0.006474547061989084,500,16.166666666666668,0.525664811379097,True
16167,8.407962672728344e-07,16167,1248736,4250,11917,0,4250,0.2628811777076761,1.0,0.012946691694641622,1000,16.166666666666668,0.2628811777076761,True
32333,1.80785301879067e-07,32336,1248736,4250,28086,0,4250,0.13143245917862445,1.0,0.02589498500884094,2000,16.166666666666668,0.13143245917862445,True
80833,4.283672850973518e-08,80833,1248736,4250,76583,0,4250,0.052577536402211966,1.0,0.0647318568536504,5000,16.166666666666668,0.052577536402211966,True
