reviews_per_day,k,n_flagged,true_positives,false_positives,false_negatives,precision,recall,net_value
100,1617,1617,1617,0,2633,1.0,0.3804705882352941,-2869245425.4375
250,4042,4042,4042,0,208,1.0,0.9510588235294117,2850030532.375
500,8083,8085,4250,3835,0,0.525664811379097,1.0,3339824109.375
1000,16167,16167,4250,11917,0,0.2628811777076761,1.0,3338207709.375
2000,32333,32336,4250,28086,0,0.13143245917862445,1.0,3334973909.375
5000,80833,80833,4250,76583,0,0.052577536402211966,1.0,3325274509.375
